generation code cost fitness population_size goal_size
2750 Genetic!Algoqithms Rock!   22447.0 20 25
2760 Genetic!Algoqithms Rock!   22447.0 20 25
2770 Genetic!Algoqithms Rock!   22447.0 20 25
2780 Genetic!Algoqithms Rock!   22447.0 20 25
2790 Genetic!Algoqithms Rock!   22447.0 20 25
2800 Genetic!Algoqithms Rock!   22447.0 20 25
2810 Genetic!Algoqithms Rock!G  22410.0 20 25
2820 Genetic!Algoqithms Rock!   22447.0 20 25
2830 Genetic!Algoqithms Rock!   22447.0 20 25
2840 Genetic!Algoqithms Rock!   22447.0 20 25
2850 Genetic!Algoqithms Rock!   22447.0 20 25
2860 Genetic!Algoqithms Rock!   22447.0 20 25
2870 Genetic!Algoqithms Rock!   22447.0 20 25
2880 Genetic!Al-oqithms Rock!   21539.0 20 25
2890 Genetic!Algoqithms Rock!   22447.0 20 25
2900 Genetic!Algoqithms Rock!   22447.0 20 25
2910 Genetic!Algoqithms Rock!   22447.0 20 25
2920 Genetic!Algoqithms Rock!   22447.0 20 25
2930 Genetic!Algoqithms Rock!   22447.0 20 25
2940 Genetic!Algoqith^s Rock!   21582.0 20 25
2950 Genetic!Algoqithms Rock!   22447.0 20 25
2960 Genetic!Algoqithms Rock!   22447.0 20 25
2970 Genetic!Algoqithms Rock!   22447.0 20 25
2980 Genetic!Algoqithms Rock!   22447.0 20 25
2990 Genetic!Algoqithms Rock!   22447.0 20 25
3000 Genetic!Algoqithms Rock!   22447.0 20 25
3010 Genetic!Algoqithms Rock!   22447.0 20 25
3020 Genetic!Algoqithms Rock!   22447.0 20 25
3030 Genetic!Algoqithms Rock!   22447.0 20 25
3040 Genetic!Algoqithms Rock!   22447.0 20 25
3050 Genetic!Algoqithms Rock!   22447.0 20 25
3060 Genetic!Algoqithms Rock!   22447.0 20 25
3070 Genetic!Algoqithms Rock!   22447.0 20 25
3080 Genetic!Algoqithms Rtck!   21592.0 20 25
3090 Genetic!Algoqithms Rock!   22447.0 20 25
3100 Genetic!Algoqithms Rock!   22447.0 20 25
3110 Genetic!Algoqithms Rock!   22447.0 20 25
3120 Genetic\Algoqithms Rock!   22388.0 20 25
3130 Genetic!Algoqithms Rock!   22447.0 20 25
3140 Genetic!Algoqithms Rock!   22447.0 20 25
3150 Genetic!Algoqithms Rock!   22447.0 20 25
3160 Genetic!Algoqithms Rock!   22447.0 20 25
3170 Genetic!Algoqithms Rock!   22447.0 20 25
3180 Genetic!Algoqithms R|ck!   21584.0 20 25
3190 Genetic!Algoqithms Rock!   22447.0 20 25
3200 Genetic!Algoqithms Rock!   22447.0 20 25
3210 Genetic!Algoqithms Rock!   22447.0 20 25
3220 Genetic!Algoqithms Rock!   22447.0 20 25
3230 Genetic!Algoqithms Rock!   22447.0 20 25
3240 Genetic!Algoqithms Rock!   22447.0 20 25
3250 Genetic!Algoqithms Rock!   22447.0 20 25
3260 Genetic{Algoqithms Rock!   22357.0 20 25
3270 Genetic!Algoqithms Rock!   22447.0 20 25
3280 Genetic!Algoqithms Rock!   22447.0 20 25
3290 Genetic!Algoqithms Rock!   22447.0 20 25
3300 Genetic!Algoqithms Rock!   22447.0 20 25
3310 Genetic!Algoqithms Rock!   22447.0 20 25
3320 Genetic!Algoqithms Rock!   22447.0 20 25
3330 Genetic!Algoqithms Rock!   22447.0 20 25
3340 Genetic!Algoqithms{Rock!   21506.0 20 25
3350 Genetic!Algoqithms Rock!   22447.0 20 25
3360 Genetic!Algoqithms Rock!   22447.0 20 25
3370 Genetic!Algoqithms Rock!   22447.0 20 25
3380 Genetic!Algoqithms Rock!   22447.0 20 25
3390 Genetic!Algoqithms Rock!   22447.0 20 25
3400 Genetic!Algosithms Rock!   22447.0 20 25
3410 Genetic!Algoqithms Rock!   22447.0 20 25
3420 Genetic!Algoqithms Rock!   22447.0 20 25
3430 Genetic!Algoqithms Rock!   22447.0 20 25
3440 Genetic!Algoqithms Rock!   22447.0 20 25
3450 Genetic!Algoqithms Rock!   22447.0 20 25
3460 Genetic!Algoqithms Rock!   22447.0 20 25
3470 Genetic!Algoqithms Rock!   22447.0 20 25
3480 Genetic!Algoqithms R(ck!   21526.0 20 25
3490 Genetic!Algoqithms Rock!   22447.0 20 25
3500 Genetic!Algoqithms Rock!   22447.0 20 25
3510 Genetic!Algoqithms Rock!   22447.0 20 25
3520 Genetic!Algoqithms Rock"   21596.0 20 25
3530 Genetic!Algoqithms Rock!   22447.0 20 25
3540 Genetic!Algoqithms Rock!   22447.0 20 25
3550 Genetic!Algoqithms Rock!   22447.0 20 25
3560 Genetic!Algoqithms Rock!   22447.0 20 25
3570 Genetic!Algoqithms Rock!   22447.0 20 25
3580 Genetic!Algoqithms Rock!   22447.0 20 25
3590 Genetic!Algoqithms Rock!   22447.0 20 25
3600 Genetic!Algoqithms Rock!   22447.0 20 25
3610 Genetic!Algoqithms R#ck!   21521.0 20 25
3620 Genetic!Algoqithms Rock!   22447.0 20 25
3630 Genetic!Algoqithms Rock!   22447.0 20 25
3640 Genetic!APgoqithms Rock!   21569.0 20 25
3650 Genetic!Algoqithms Rock!   22447.0 20 25
3660 Genetic!Algoqithms Rock!   22447.0 20 25
3670 Genetic!Algoqithms Rock!   22447.0 20 25
3680 Genetic!Algoqithms Rock!   22447.0 20 25
3690 Genetic!Algoqithms Rock!   22447.0 20 25
3700 Ge\etic!Algoqithms Rock!   21579.0 20 25
3710 Genetic!Algoqithms Rock!   22447.0 20 25
3720 GeneticGAlgoqithms Rock!   22409.0 20 25
3730 Genetic!Algoqithms Rock!   22447.0 20 25
3740 Genetic!Algoqithms Rock!   22447.0 20 25
3750 Genetic!Algoqithms Rock!   22447.0 20 25
3760 Genetic!Algoqithms Rock!   22447.0 20 25
3770 Genetic!Algorithms Rock!   23298.0 20 25
3780 Genetic!Algorithms Rock!   23298.0 20 25
3790 Genetic!Algorithms Rock!   23298.0 20 25
3800 Genetic!Algorithms Rock!   23298.0 20 25
3810 Genetic!Algorithms Rock!   23298.0 20 25
3820 Genetic!Algorithms Rock!   23298.0 20 25
3830 Genetic!Algorithms Rock!   23298.0 20 25
3840 Genetic!Algorithms Rock!   23298.0 20 25
3850 Genetic!Algorithms Roc1!   22390.0 20 25
3860 Genetic!Algorithms Rock!   23298.0 20 25
3870 Genetic!Algorithms Rock!   23298.0 20 25
3880 Genetic!Algorithms Rock!   23298.0 20 25
3890 Genetic!Algorithms Rock!   23298.0 20 25
3900 Genetic!Algorithms Rock!   23298.0 20 25
3910 Genetic!Algorithms Rock!   23298.0 20 25
3920 Genetic!Algorithms Rock!   23298.0 20 25
3930 Genetic!Algorithms Rock!   23298.0 20 25
3940 Genetic!Algorithms Roc)!   22382.0 20 25
3950 Genetic!Algorithms Rock!   23298.0 20 25
3960 Genetic!Algorithms Rock!   23298.0 20 25
3970 Genetic!Algorithms Rock!   23298.0 20 25
3980 Genetic!Algorithms Rock!   23298.0 20 25
3990 Genetic!Algor\thms Rock!   22435.0 20 25
4000 Genetic!Algorithms Rock!   23298.0 20 25
4010 Genetic!Algorithms Rock!   23298.0 20 25
4020 Genetic!Algorithms Rock!   23298.0 20 25
4030 Genetic!Algorithms Rock!   23298.0 20 25
4040 Genetic!Algorithms Rock!   23298.0 20 25
4050 Genetic!Algorithms Rock!   23298.0 20 25
4060 Genetic!Algorithms Rock!   23298.0 20 25
4070 Genetic!Algorithms Rock!   23298.0 20 25
4080 Genetic!Algorithms Rock!   23298.0 20 25
4090 Genetic!Algorithms Rock!   23298.0 20 25
4100 Genetic!Algorithms Rock!   23298.0 20 25
4110 Genetic!Algorithms Rock!   23298.0 20 25
4120 Genetic!Algorithms Rock!   23298.0 20 25
4130 Genetic!Algorithms Rock!   23298.0 20 25
4140 Genetic!Algorithms Rock!   23298.0 20 25
4150 Genetic!Algorithms Rock!   23298.0 20 25
4160 Genetic!Algorithms Rock!   23298.0 20 25
4170 Genetic!Algorithms Rock!   23298.0 20 25
4180 Genetic!Algorithms Rock!   23298.0 20 25
4190 Genetic!Algorithms Rock!   23298.0 20 25
4200 Genetic!Algorithms Rock!   23298.0 20 25
4210 Genetic!Algorithms Rock!   23298.0 20 25
4220 Genetic!Algorithms Rock!   23298.0 20 25
4230 Genetic!Algorithms Rock!   23298.0 20 25
4240 Genetic!Algorithms Rock!   23298.0 20 25
4250 Genetic!Algorithms Rock!   23298.0 20 25
4260 Genetic!Algorithms Rock!   23298.0 20 25
4270 Genetic!Algorithms Rock!   23298.0 20 25
4280 Genetic!Algorithms Rock!   23298.0 20 25
4290 Genetic!Algorithms Rock!   23298.0 20 25
4300 Genetic!Algorithms Rock!   23298.0 20 25
4310 Genetic!Algorithms Rock!   23298.0 20 25
4320 Genetic!Algorithms Rock!   23298.0 20 25
4330 Genetic!Algorithms Rock!   23298.0 20 25
4340 Genetic!Algorithms Rock!   23298.0 20 25
4350 Genetic!Algorithms Rock!   23298.0 20 25
4360 Genetic!Alg=rithms Rock!   22398.0 20 25
4370 G-netic!Algorithms Rock!   22392.0 20 25
4380 Genetic!Algorithms Rock!   23298.0 20 25
4390 Genetic!Algorithms Rock!   23298.0 20 25
4400 Genetic!Algorithms Rock!   23298.0 20 25
4410 Genetic!Algorithms Rock!   23298.0 20 25
4420 Genetic!Algorithms Rock!   23298.0 20 25
4430 Genetic!Algorithms Rock!   23298.0 20 25
4440 Genetic!Algorithms Rock!   23298.0 20 25
4450 Genetic!Algorithms Rock!   23298.0 20 25
4460 Genetic!Algorithms &ock!   22404.0 20 25
4470 Genetic!Algorithms Rock!   23298.0 20 25
4480 Genetic!Algorithms Rock!   23298.0 20 25
4490 Genetic!Algorithms Rock!   23298.0 20 25
4500 Genetic!Algorithms Rock!   23298.0 20 25
4510 Genetic!Algorithms Rock!   23298.0 20 25
4520 Genetic!Algorithms Rock!   23298.0 20 25
4530 Genetic!Algorithms Rock!   23298.0 20 25
4540 Genetic!Algorithms Rock!   23298.0 20 25
4550 Genetic!Algorithms Rock!   23298.0 20 25
4560 Genetic!Algorithms Rock!   23298.0 20 25
4570 Genetic!Algorithms Rock!   23298.0 20 25
4580 Genetic!Algorithms Rock!   23298.0 20 25
4590 Genetic!Algorithms Rock!   23298.0 20 25
4600 senetic!Algorithms Rock!   22404.0 20 25
4610 Genetic!Algorithms Rock!   23298.0 20 25
4620 Genetic!Algorithms Rock!   23298.0 20 25
4630 Genetic!Algorithms Rock!   23298.0 20 25
4640 Genetic!Algorithms Rock!   23298.0 20 25
4650 Genetic!Algorithms Rock!   23298.0 20 25
4660 Genetic!Algorithms Rock!   23298.0 20 25
4670 Genetic!Algorithms Rock!   23298.0 20 25
4680 Genetic!Algorithms Rock!   23298.0 20 25
4690 Genetic!Algorithms Rock!   23298.0 20 25
4700 Genetic!AlQorithms Rock!   22426.0 20 25
4710 Genetic!Algorithms Rock!   23298.0 20 25
4720 Genetic!Algorithms Rock!   23298.0 20 25
